configuration,condition,ground_truth,n_samples,map,map_50,map_75,map_small,map_medium,map_large,mar_1,mar_10,mar_100
baseline,native_ir_ir_gt,ir,896,0.12201036512851715,0.2637094557285309,0.09000897407531738,0.12201036512851715,-1.0,-1.0,0.061146702617406845,0.18174247443675995,0.220243439078331
baseline,paired_ir_vis_gt,vis,896,0.0004267059557605535,0.002519043628126383,2.207578654633835e-05,0.0004267059557605535,-1.0,-1.0,0.0013558301143348217,0.0055137090384960175,0.00822536926716566
baseline,paired_vis,vis,896,0.07167273759841919,0.15110716223716736,0.0570797435939312,0.07167273759841919,-1.0,-1.0,0.04386863484978676,0.13199758529663086,0.21750527620315552
baseline,paired_vis_ir,vis,896,0.07986883074045181,0.1521475464105606,0.07233058661222458,0.07986883074045181,-1.0,-1.0,0.04374811798334122,0.13103345036506653,0.1811087727546692
paired_vis_dropout,native_ir_ir_gt,ir,896,0.008001605048775673,0.027067266404628754,0.003157626139000058,0.008001605048775673,-1.0,-1.0,0.005797565449029207,0.024311339482665062,0.04993593692779541
paired_vis_dropout,paired_ir_vis_gt,vis,896,0.0007229947368614376,0.002835756866261363,0.0003046458587050438,0.0007229947368614376,-1.0,-1.0,0.0013859596801921725,0.0031334739178419113,0.011810786090791225
paired_vis_dropout,paired_vis,vis,896,0.06986961513757706,0.143206387758255,0.05685090273618698,0.06986961513757706,-1.0,-1.0,0.03368484601378441,0.11334739625453949,0.1595962643623352
paired_vis_dropout,paired_vis_ir,vis,896,0.07771383225917816,0.15689918398857117,0.06634190678596497,0.07771383225917816,-1.0,-1.0,0.03579391539096832,0.10831575840711594,0.13901777565479279
