acquisition,configuration,fppi_budget,n_seeds,recall_mean,recall_sd
mterie,historical_additive,0.01,5,0.09468926553672316,0.04200328452035936
mterie,historical_additive,0.010232929922807542,5,0.09468926553672316,0.04200328452035936
mterie,historical_additive,0.010471285480508996,5,0.09468926553672316,0.04200328452035936
mterie,historical_additive,0.010715193052376065,5,0.09468926553672316,0.04200328452035936
mterie,historical_additive,0.01096478196143185,5,0.09468926553672316,0.04200328452035936
mterie,historical_additive,0.011220184543019636,5,0.09468926553672316,0.04200328452035936
mterie,historical_additive,0.01148153621496883,5,0.09740112994350283,0.040298766133528646
mterie,historical_additive,0.011748975549395297,5,0.09740112994350283,0.040298766133528646
mterie,historical_additive,0.012022644346174132,5,0.09740112994350283,0.040298766133528646
mterie,historical_additive,0.012302687708123818,5,0.09740112994350283,0.040298766133528646
mterie,historical_additive,0.012589254117941675,5,0.09740112994350283,0.040298766133528646
mterie,historical_additive,0.012882495516931342,5,0.0976271186440678,0.0398823639686506
mterie,historical_additive,0.013182567385564075,5,0.0976271186440678,0.0398823639686506
mterie,historical_additive,0.013489628825916533,5,0.0976271186440678,0.0398823639686506
mterie,historical_additive,0.013803842646028852,5,0.0976271186440678,0.0398823639686506
mterie,historical_additive,0.01412537544622754,5,0.09943502824858756,0.04055025463636554
mterie,historical_additive,0.014454397707459272,5,0.09943502824858756,0.04055025463636554
mterie,historical_additive,0.014791083881682071,5,0.09943502824858756,0.04055025463636554
mterie,historical_additive,0.01513561248436208,5,0.09943502824858756,0.04055025463636554
mterie,historical_additive,0.01548816618912481,5,0.09943502824858756,0.04055025463636554
mterie,historical_additive,0.015848931924611134,5,0.1014689265536723,0.03920879532316195
mterie,historical_additive,0.0162181009735893,5,0.1014689265536723,0.03920879532316195
mterie,historical_additive,0.016595869074375606,5,0.1014689265536723,0.03920879532316195
mterie,historical_additive,0.016982436524617443,5,0.10361581920903955,0.04111038213666834
mterie,historical_additive,0.017378008287493755,5,0.10361581920903955,0.04111038213666834
mterie,historical_additive,0.01778279410038923,5,0.10361581920903955,0.04111038213666834
mterie,historical_additive,0.018197008586099836,5,0.10361581920903955,0.04111038213666834
mterie,historical_additive,0.018620871366628676,5,0.10485875706214691,0.040308665750488075
mterie,historical_additive,0.019054607179632473,5,0.10485875706214691,0.040308665750488075
mterie,historical_additive,0.019498445997580455,5,0.10485875706214691,0.040308665750488075
mterie,historical_additive,0.0199526231496888,5,0.10632768361581921,0.040312229017464105
mterie,historical_additive,0.020417379446695295,5,0.10632768361581921,0.040312229017464105
mterie,historical_additive,0.020892961308540396,5,0.10632768361581921,0.040312229017464105
mterie,historical_additive,0.021379620895022326,5,0.10768361581920902,0.04075949143736262
mterie,historical_additive,0.02187761623949553,5,0.10768361581920902,0.04075949143736262
mterie,historical_additive,0.0223872113856834,5,0.10768361581920902,0.04075949143736262
mterie,historical_additive,0.022908676527677724,5,0.10971751412429379,0.041108052782574886
mterie,historical_additive,0.023442288153199226,5,0.10971751412429379,0.041108052782574886
mterie,historical_additive,0.023988329190194897,5,0.10971751412429379,0.041108052782574886
mterie,historical_additive,0.02454708915685031,5,0.11050847457627118,0.04183576717335207
