acquisition,fppi_budget,additive_n,additive_mean,additive_sd,fam_n,fam_mean,fam_sd,paired_seed_count,paired_delta_mean,paired_delta_sd,positive_seed_count,zero_seed_count,negative_seed_count
mterie,0.1,5,0.16101694915254236,0.04933888956808618,5,0.22169491525423726,0.03376763893590187,5,0.060677966101694916,0.039302303641531866,5,0,0
mterie,0.5,5,0.32655367231638416,0.07393147029584449,5,0.43672316384180787,0.0884609379708467,5,0.11016949152542373,0.06149893335387483,5,0,0
mterie,1.0,5,0.4296045197740114,0.06615792673165387,5,0.5368361581920903,0.07775846419849482,5,0.10723163841807906,0.06004323508505413,5,0,0
carnation_0025_0026,0.1,5,0.1796869033982436,0.04956422505122259,5,0.26701030927835046,0.057914923430739645,5,0.08732340588010692,0.0550064448514345,4,0,1
carnation_0025_0026,0.5,5,0.36880488736158834,0.07451723518971219,5,0.4668957617411225,0.05311532644713922,5,0.09809087437953418,0.03176655383658656,5,0,0
carnation_0025_0026,1.0,5,0.4507445589919817,0.07574743104680555,5,0.5466972126765941,0.05416966909521112,5,0.09595265368461245,0.038807081582379506,5,0,0
fhl_0407_0408,0.1,5,0.1632047477744807,0.06042238188218764,5,0.2777448071216617,0.06662952764531874,5,0.114540059347181,0.09461913412010499,5,0,0
fhl_0407_0408,0.5,5,0.3804154302670623,0.08840276192629615,5,0.5282888229475766,0.0663829384008284,5,0.1478733926805143,0.12550424358324733,5,0,0
fhl_0407_0408,1.0,5,0.49030662710187933,0.08951027631895198,5,0.6309594460929773,0.056659379447147294,5,0.1406528189910979,0.1112103334313333,5,0,0
