seed,checkpoint_kind,selected_epoch,validation_map50,map,map_50,map_75,mar_100,checkpoint_sha256
40,best,1,0.1521475464105606,0.13165780901908875,0.34895145893096924,0.06265000253915787,0.27898305654525757,4d4cfd0d45ba1efc52896fcd50b603217be98104be3f541bef41a04095762bd6
40,latest,10,0.03973805531859398,0.0811179131269455,0.21323199570178986,0.04336676001548767,0.20548023283481598,b69c6e732f38defbeae9b02d8b976ad9093b23ece89cc9adb82ab167cc504755
41,best,4,0.14235958456993103,0.12036469578742981,0.33536645770072937,0.05739997699856758,0.27514123916625977,15e5496aae010389d2f17d14c34f98cdcab930c77a51d8c40d654564866c6afe
41,latest,10,0.10302940756082535,0.10648283362388611,0.28873205184936523,0.05392257869243622,0.24790960550308228,b138aba1dca44fe8dff51c78613551eb8d8d6a56d00d92a583102847a5438cd6
42,best,6,0.16546642780303955,0.10715899616479874,0.30773282051086426,0.04409758746623993,0.2529943585395813,4213e0de183fe98dfe9b244ac0936cb76ee851240feb52e1ab148475e28eeb51
42,latest,10,0.09459450095891953,0.09877101331949234,0.2740115225315094,0.04611502215266228,0.24418078362941742,4d05e3b84ad5dac91469d990cd441e50e2f16d02ef353ecf65f6e5eeaab06662
43,best,1,0.19393183290958405,0.13873614370822906,0.39941537380218506,0.0589267835021019,0.2922033965587616,108759bd8d4171a45c5ebbe42a3fc5ea20ae5ddc1a84728076641066b2f4cdf5
43,latest,10,0.07898081839084625,0.10415193438529968,0.28756842017173767,0.05254387855529785,0.24028249084949493,57f01ab449c9c05831829c360136521c17ce43e6ea321ab25fe0158c470f23ad
44,best,1,0.16890789568424225,0.14960330724716187,0.40355125069618225,0.07329028844833374,0.31395480036735535,0eb4c09869a45cb67e1f2e251f68e40486e7e2fc6a16f52ef02e9a5322e2717f
44,latest,10,0.10372947156429291,0.10436682403087616,0.28105396032333374,0.04863591492176056,0.24711863696575165,5242403fc4619554ccf7ef8f839b7ba1bd0f75bf0c3144a161a6d89cb8861954
