configuration,condition,ground_truth,n_samples,map,map_50,map_75,map_small,map_medium,map_large,mar_1,mar_10,mar_100
baseline,native_ir_ir_gt,ir,896,0.12201036512851715,0.2637094557285309,0.09000897407531738,0.12201036512851715,-1.0,-1.0,0.061146702617406845,0.18174247443675995,0.220243439078331
baseline,paired_ir_vis_gt,vis,896,0.0004267059557605535,0.002519043628126383,2.207578654633835e-05,0.0004267059557605535,-1.0,-1.0,0.0013558301143348217,0.0055137090384960175,0.00822536926716566
baseline,paired_vis,vis,896,0.07167273759841919,0.15110716223716736,0.0570797435939312,0.07167273759841919,-1.0,-1.0,0.04386863484978676,0.13199758529663086,0.21750527620315552
baseline,paired_vis_ir,vis,896,0.07986883074045181,0.1521475464105606,0.07233058661222458,0.07986883074045181,-1.0,-1.0,0.04374811798334122,0.13103345036506653,0.1811087727546692
mixed_consistency,native_ir_ir_gt,ir,896,0.12954014539718628,0.21312804520130157,0.14165931940078735,0.12954014539718628,-1.0,-1.0,0.06928250938653946,0.21585522592067719,0.30076873302459717
mixed_consistency,paired_ir_vis_gt,vis,896,0.0018898311536759138,0.004347643814980984,1.3189595847507007e-05,0.0018898311536759138,-1.0,-1.0,0.0013257005484774709,0.0066285026259720325,0.00964145828038454
mixed_consistency,paired_vis,vis,896,0.05500144511461258,0.0916205644607544,0.05528247728943825,0.05500144511461258,-1.0,-1.0,0.03238927572965622,0.10144621878862381,0.14531485736370087
mixed_consistency,paired_vis_ir,vis,896,0.06999970227479935,0.12526346743106842,0.06629174947738647,0.06999970227479935,-1.0,-1.0,0.043567340821027756,0.11024405062198639,0.1489304006099701
