seed,mode,level,level_label,modality,numel,mean,std,mean_abs_delta_one,min,p05_approx,median_approx,p95_approx,max,fraction_below_low,fraction_above_high
40,fusion,0,P3,alignment,5734400,0.976151144659972,0.034819446485100554,0.02993078872951238,0.7379720211029053,0.9025,0.9825,1.0225,1.070467233657837,0.04838082449776786,0.0
40,fusion,1,P4,alignment,1433600,0.9314741883168712,0.005578940108690165,0.06852581168312878,0.8873751163482666,0.9275,0.9325,0.9475,0.9544885754585266,0.0004499162946428571,0.0
40,fusion,2,P5,alignment,358400,0.9849145896912419,0.0008326502670608663,0.015085410308758063,0.9830338358879089,0.9825,0.9825,0.9875,0.9881595373153687,0.0,0.0
40,rgb,0,P3,alignment,5734400,1.0583579264487135,0.0374671841088538,0.0651152521478798,0.816305935382843,0.9675,1.0725,1.0975,1.1221542358398438,0.0024302455357142856,0.017913120814732144
40,rgb,1,P4,alignment,1433600,0.950585528392195,0.004259195242139271,0.04941447160780496,0.9057589769363403,0.9425,0.9525,0.9575,0.9659865498542786,0.0,0.0
40,rgb,2,P5,alignment,358400,0.987779451818538,0.0005967497436155981,0.012220548181461968,0.9860039353370667,0.9875,0.9875,0.9875,0.9895454049110413,0.0,0.0
40,ir,0,P3,alignment,5734400,0.5360966150159064,0.03113719392009883,0.4639033849840936,0.44873133301734924,0.5175,0.5275,0.5775,0.7377254366874695,1.0,0.0
40,ir,1,P4,alignment,1433600,0.9181950508103806,0.007114846774179915,0.08180494918961943,0.8831189870834351,0.9125,0.9175,0.9375,0.9443912506103516,0.000625,0.0
40,ir,2,P5,alignment,358400,0.9859010528819635,0.0007387341753747423,0.01409894711803645,0.9847263693809509,0.9875,0.9875,0.9875,0.9889156818389893,0.0,0.0
41,fusion,0,P3,alignment,5734400,0.9176799619874197,0.015724436651264193,0.08232003801258023,0.7201588749885559,0.8925000000000001,0.9175,0.9425,0.9702025651931763,0.09898995535714286,0.0
41,fusion,1,P4,alignment,1433600,0.9077011268981316,0.008137204622796362,0.09229887310186834,0.8343814015388489,0.8975,0.9075,0.9275,0.9481080770492554,0.08800223214285714,0.0
41,fusion,2,P5,alignment,358400,0.9685642408800778,0.0036153147660217657,0.031435759119922295,0.9612806439399719,0.9675,0.9675,0.9775,0.9833147525787354,0.0,0.0
41,rgb,0,P3,alignment,5734400,0.9880540636044108,0.017512857012691115,0.014367815347847812,0.8059004545211792,0.9575,0.9925,1.0075,1.0257912874221802,0.001614990234375,0.0
41,rgb,1,P4,alignment,1433600,0.9485428359853852,0.005894004246173278,0.05145716401461479,0.8766003847122192,0.9375,0.9525,0.9525,0.9634081721305847,0.0005336216517857142,0.0
41,rgb,2,P5,alignment,358400,0.9780377712611309,0.002149004977413775,0.02196222873886914,0.9709619283676147,0.9775,0.9775,0.9825,0.9874675869941711,0.0,0.0
41,ir,0,P3,alignment,5734400,0.7277304209911797,0.0253107815754231,0.2722695790088203,0.566204845905304,0.7025,0.7275,0.7575000000000001,0.8515791296958923,1.0,0.0
41,ir,1,P4,alignment,1433600,0.9035680208899014,0.009903960183031572,0.09643197911009857,0.8310906291007996,0.8925000000000001,0.9025,0.9275,0.9375658631324768,0.3355587332589286,0.0
41,ir,2,P5,alignment,358400,0.9801632075387585,0.0020050059222962895,0.019836792461241464,0.9745020270347595,0.9775,0.9775,0.9825,0.9884920120239258,0.0,0.0
42,fusion,0,P3,alignment,5734400,0.9937265207848603,0.04483532253001517,0.030984222447877983,0.6519598364830017,0.8975,0.9975,1.0525,1.1026923656463623,0.05257725306919643,1.0463169642857143e-06
42,fusion,1,P4,alignment,1433600,0.787554661487645,0.017038470395037916,0.21244533851235506,0.6948153376579285,0.7725,0.7825,0.8375,0.8833682537078857,1.0,0.0
42,fusion,2,P5,alignment,358400,0.9982028963034307,5.054949949268865e-05,0.0017971036965692682,0.9979860782623291,0.9975,0.9975,0.9975,0.9983377456665039,0.0,0.0
42,rgb,0,P3,alignment,5734400,1.0891570157173451,0.045671228766407994,0.09545854677838049,0.771963357925415,0.9775,1.1025,1.1275,1.1571630239486694,0.004248744419642857,0.5597488839285715
42,rgb,1,P4,alignment,1433600,0.8494046621195074,0.011453892584916593,0.15059533788049262,0.7540490031242371,0.8325,0.8475,0.8775000000000001,0.9079630374908447,0.9998716517857142,0.0
42,rgb,2,P5,alignment,358400,0.9975747551798954,8.026053006818141e-05,0.0024252448201046457,0.9973726272583008,0.9975,0.9975,0.9975,0.997895359992981,0.0,0.0
42,ir,0,P3,alignment,5734400,0.5117484460300901,0.03251655465993167,0.4882515539699099,0.3630281388759613,0.4875,0.5025000000000001,0.5525,0.7070209980010986,1.0,0.0
42,ir,1,P4,alignment,1433600,0.8323165391334831,0.012542730841925993,0.16768346086651686,0.7574949860572815,0.8225,0.8325,0.8675,0.8921127319335938,1.0,0.0
42,ir,2,P5,alignment,358400,0.9987975358409208,0.0001225804163700952,0.001202464159079162,0.99831223487854,0.9975,0.9975,0.9975,0.9989349246025085,0.0,0.0
43,fusion,0,P3,alignment,5734400,0.9318167516116436,0.0167439410652538,0.06818324838835646,0.7771095037460327,0.9025,0.9325,0.9575,0.989177405834198,0.03587193080357143,0.0
43,fusion,1,P4,alignment,1433600,0.9526986078010772,0.0040932054117281975,0.04730139219892278,0.9202699065208435,0.9475,0.9525,0.9625,0.9704420566558838,0.0,0.0
43,fusion,2,P5,alignment,358400,0.9956686252126071,0.00014110897258500784,0.004331374787392893,0.995133101940155,0.9975,0.9975,0.9975,0.9960741996765137,0.0,0.0
43,rgb,0,P3,alignment,5734400,1.0106577517440332,0.018399215350575412,0.018298959463541646,0.8641391396522522,0.9725,1.0125,1.0325,1.0509532690048218,0.00013985770089285714,0.0
43,rgb,1,P4,alignment,1433600,0.9778252403967781,0.0019178779708224514,0.0221747596032219,0.9477841258049011,0.9775,0.9775,0.9825,0.9847614765167236,0.0,0.0
43,rgb,2,P5,alignment,358400,0.9965255464822985,0.00015881985665833545,0.003474453517701477,0.9959807395935059,0.9975,0.9975,0.9975,0.9967108964920044,0.0,0.0
43,ir,0,P3,alignment,5734400,0.7086857169851074,0.022935884642236844,0.29131428301489254,0.6320873498916626,0.6925,0.7025,0.7325,0.8390111327171326,1.0,0.0
43,ir,1,P4,alignment,1433600,0.9297532523714056,0.005783357460742273,0.07024674762859441,0.9029535055160522,0.9225,0.9275,0.9475,0.9579840302467346,0.0,0.0
43,ir,2,P5,alignment,358400,0.994580755643214,0.00018611518238114785,0.005419244356786034,0.9941650032997131,0.9925,0.9925,0.9925,0.9953628778457642,0.0,0.0
44,fusion,0,P3,alignment,5734400,0.9150575442655619,0.01767930815917081,0.0849424557344381,0.7086184620857239,0.8825000000000001,0.9175,0.9375,0.9537919759750366,0.15095528738839287,0.0
44,fusion,1,P4,alignment,1433600,0.9600126349267832,0.0026466743364318584,0.03998736507321675,0.9398394227027893,0.9575,0.9575,0.9675,0.9721425175666809,0.0,0.0
44,fusion,2,P5,alignment,358400,0.9961108331749814,0.0002130800086009924,0.0038891668250185573,0.9951314926147461,0.9975,0.9975,0.9975,0.9969828724861145,0.0,0.0
44,rgb,0,P3,alignment,5734400,1.004220430742363,0.019741097469825976,0.01479442610303522,0.800850510597229,0.9575,1.0125,1.0175,1.0307250022888184,0.0022216796875,0.0
44,rgb,1,P4,alignment,1433600,0.9723782618730911,0.0017498765292438636,0.027621738126908893,0.9501829147338867,0.9725,0.9725,0.9775,0.9789732098579407,0.0,0.0
44,rgb,2,P5,alignment,358400,0.9964303426926823,0.00017575374580822375,0.0035696573073177467,0.9954766631126404,0.9975,0.9975,0.9975,0.997087299823761,0.0,0.0
44,ir,0,P3,alignment,5734400,0.7672135276077876,0.0162005850006497,0.23278647239221234,0.5862403512001038,0.7375,0.7675000000000001,0.7775,0.8341553211212158,1.0,0.0
44,ir,1,P4,alignment,1433600,0.9615772336027502,0.002511957688210891,0.03842276639724982,0.9446179866790771,0.9575,0.9625,0.9675,0.972518265247345,0.0,0.0
44,ir,2,P5,alignment,358400,0.9967338672318562,0.00014744255461088753,0.0032661327681437666,0.9959000945091248,0.9975,0.9975,0.9975,0.9973087310791016,0.0,0.0
