method,family,stage,evaluation_split,seed,budget_epochs,best_epoch,best_map50,latest_epoch,latest_checkpoint_name,latest_map50,run_id,artifact_directory,best_metric_source,latest_metric_source,source_manifest_sha256,serialized_best_replay_map50,serialized_best_replay_absolute_error
rtdetr_box_guided,RT-DETR,A,FHL_0401_VIS_0402_IR,42,10,5,0.1388055682182312,10,latest,0.08681964874267578,qhrxfz1f,wandb/run-20260910_153459-qhrxfz1f/files,wandb-summary.json:best_map_50,wandb-summary.json:validate/map_50,3320b24d060aaacec316290c114933db1dce8d71eaaf455f1ccb6448183f76e5,,
rtdetr_box_guided,RT-DETR,A,FHL_0401_VIS_0402_IR,43,10,2,0.17998746037483215,10,latest,0.08227445185184479,7r65y3xw,wandb/run-20260910_174502-7r65y3xw/files,wandb-summary.json:best_map_50,wandb-summary.json:validate/map_50,3320b24d060aaacec316290c114933db1dce8d71eaaf455f1ccb6448183f76e5,,
rtdetr_box_guided,RT-DETR,A,FHL_0401_VIS_0402_IR,44,10,3,0.1652163863182068,10,latest,0.07587692886590958,ezqfhmhb,wandb/run-20260910_202519-ezqfhmhb/files,wandb-summary.json:best_map_50,wandb-summary.json:validate/map_50,3320b24d060aaacec316290c114933db1dce8d71eaaf455f1ccb6448183f76e5,,
rtdetr_mixed_consistency,RT-DETR,A,FHL_0401_VIS_0402_IR,40,10,1,0.14484043419361115,10,latest,0.017873017117381096,yki5nvtj,wandb/run-20260910_230237-yki5nvtj/files,wandb-summary.json:best_map_50,wandb-summary.json:validate/map_50,3320b24d060aaacec316290c114933db1dce8d71eaaf455f1ccb6448183f76e5,,
rtdetr_mixed_consistency,RT-DETR,A,FHL_0401_VIS_0402_IR,41,10,5,0.05759882926940918,10,latest,0.01157347485423088,gyrqzo9j,wandb/run-20260911_053447-gyrqzo9j/files,wandb-summary.json:best_map_50,wandb-summary.json:validate/map_50,3320b24d060aaacec316290c114933db1dce8d71eaaf455f1ccb6448183f76e5,,
rtdetr_mixed_consistency,RT-DETR,A,FHL_0401_VIS_0402_IR,42,10,1,0.1226123720407486,10,latest,0.02704964578151703,kuoev8xa,wandb/run-20260911_125947-kuoev8xa/files,wandb-summary.json:best_map_50,wandb-summary.json:validate/map_50,3320b24d060aaacec316290c114933db1dce8d71eaaf455f1ccb6448183f76e5,,
rtdetr_mixed_consistency,RT-DETR,A,FHL_0401_VIS_0402_IR,43,10,1,0.1012164056301117,10,latest,0.04070327430963516,sxund2gf,wandb/run-20260911_222244-sxund2gf/files,wandb-summary.json:best_map_50,wandb-summary.json:validate/map_50,3320b24d060aaacec316290c114933db1dce8d71eaaf455f1ccb6448183f76e5,,
rtdetr_mixed_consistency,RT-DETR,A,FHL_0401_VIS_0402_IR,44,10,1,0.12091688811779022,10,latest,0.04840046539902687,syu6yilp,wandb/run-20260912_043431-syu6yilp/files,wandb-summary.json:best_map_50,wandb-summary.json:validate/map_50,3320b24d060aaacec316290c114933db1dce8d71eaaf455f1ccb6448183f76e5,,
yolo26_additive,YOLO26,A,FHL_0401_VIS_0402_IR,40,50,1,0.04353,50,last.pt,0.00511,additive_seed40,runs/yolo26_stage_a_five_seed_v2/additive_seed40,completion.json:best_mAP50,results.csv:metrics/mAP50(B):epoch50,968726d18952f2ef3f0e61f1d95114590a618da8a12d2df4fd6ae1dc011ea56a,0.04342072139020618,0.00010927860979381698
yolo26_additive,YOLO26,A,FHL_0401_VIS_0402_IR,41,50,1,0.04819,50,last.pt,0.00029,additive_seed41,runs/yolo26_stage_a_five_seed_v2/additive_seed41,completion.json:best_mAP50,results.csv:metrics/mAP50(B):epoch50,968726d18952f2ef3f0e61f1d95114590a618da8a12d2df4fd6ae1dc011ea56a,0.04824179783290763,5.1797832907631014e-05
yolo26_additive,YOLO26,A,FHL_0401_VIS_0402_IR,42,50,1,0.07839,50,last.pt,0.00014,additive_seed42,runs/yolo26_stage_a_five_seed_v2/additive_seed42,completion.json:best_mAP50,results.csv:metrics/mAP50(B):epoch50,968726d18952f2ef3f0e61f1d95114590a618da8a12d2df4fd6ae1dc011ea56a,0.07848070298125095,9.070298125095355e-05
yolo26_additive,YOLO26,A,FHL_0401_VIS_0402_IR,43,50,1,0.03557,50,last.pt,0.00042,additive_seed43,runs/yolo26_stage_a_five_seed_v2/additive_seed43,completion.json:best_mAP50,results.csv:metrics/mAP50(B):epoch50,968726d18952f2ef3f0e61f1d95114590a618da8a12d2df4fd6ae1dc011ea56a,0.03577268425757309,0.00020268425757308944
yolo26_additive,YOLO26,A,FHL_0401_VIS_0402_IR,44,50,1,0.04775,50,last.pt,0.00035,additive_seed44,runs/yolo26_stage_a_five_seed_v2/additive_seed44,completion.json:best_mAP50,results.csv:metrics/mAP50(B):epoch50,968726d18952f2ef3f0e61f1d95114590a618da8a12d2df4fd6ae1dc011ea56a,0.047932257693619855,0.00018225769361985417
yolo26_fam,YOLO26,A,FHL_0401_VIS_0402_IR,40,50,2,0.0189,50,last.pt,1e-05,fam_seed40,runs/yolo26_stage_a_five_seed_v2/fam_seed40,completion.json:best_mAP50,results.csv:metrics/mAP50(B):epoch50,968726d18952f2ef3f0e61f1d95114590a618da8a12d2df4fd6ae1dc011ea56a,0.01895803418697716,5.8034186977161395e-05
yolo26_fam,YOLO26,A,FHL_0401_VIS_0402_IR,41,50,1,0.00988,50,last.pt,0.00013,fam_seed41,runs/yolo26_stage_a_five_seed_v2/fam_seed41,completion.json:best_mAP50,results.csv:metrics/mAP50(B):epoch50,968726d18952f2ef3f0e61f1d95114590a618da8a12d2df4fd6ae1dc011ea56a,0.009905285414903087,2.5285414903087472e-05
yolo26_fam,YOLO26,A,FHL_0401_VIS_0402_IR,42,50,1,0.04756,50,last.pt,5e-05,fam_seed42,runs/yolo26_stage_a_five_seed_v2/fam_seed42,completion.json:best_mAP50,results.csv:metrics/mAP50(B):epoch50,968726d18952f2ef3f0e61f1d95114590a618da8a12d2df4fd6ae1dc011ea56a,0.04769103197968763,0.0001310319796876333
yolo26_fam,YOLO26,A,FHL_0401_VIS_0402_IR,43,50,1,0.03664,50,last.pt,0.00027,fam_seed43,runs/yolo26_stage_a_five_seed_v2/fam_seed43,completion.json:best_mAP50,results.csv:metrics/mAP50(B):epoch50,968726d18952f2ef3f0e61f1d95114590a618da8a12d2df4fd6ae1dc011ea56a,0.03689249486629384,0.00025249486629384116
yolo26_fam,YOLO26,A,FHL_0401_VIS_0402_IR,44,50,1,0.02336,50,last.pt,0.0,fam_seed44,runs/yolo26_stage_a_five_seed_v2/fam_seed44,completion.json:best_mAP50,results.csv:metrics/mAP50(B):epoch50,968726d18952f2ef3f0e61f1d95114590a618da8a12d2df4fd6ae1dc011ea56a,0.023391729499514985,3.1729499514986104e-05
