condition,n_samples,n_batches,map,map_50,map_75,map_small,map_medium,map_large,mar_1,mar_10,mar_100,active_minus_zero_map_50,diagnostic_gate_passed,diagnostic_gate_status,checkpoint_sha256,training_yaml_sha256,source_inventory_sha256,content_inventory_sha256,sample_indices_sha256,ground_truth_sha256,reproducibility_trace_sha256,training_source_manifest_sha256
active,896,75,0.08465737104415894,0.1554853320121765,0.08254589140415192,0.08465737104415894,-1.0,-1.0,0.035944562405347824,0.1203073188662529,0.17131666839122772,6.8247318267822266e-06,True,guidance_non_degrading_on_stage_a_validation,854762eb2965a3856b9dec3a8d6ab3d8eaeea4076b48388be06aef1ba6ab1b89,16c1d58a4926bb6f6d1c018eb96600b52279116ca04a42d35286d63fb12ea647,47e2f348ebdc202cb749b1bbf2741fc868d8681eb24ffa4356cf4f584dfa4ec4,6c7748af3be2761a3a466b548af64aae925b693fbca795edf695072e28f17141,0ae9ff36966c73f7d6895522e4ca3099466d04ec41c4af93feecf14ed0071573,dfc3dd0378320c3fac62e5bf0b5185f03b2111a0059af01d27a48307693f52d8,de2f4d6cf9f1219c9fb79a754e72e41de7fc36d0d8842b44399e084390419ff2,b06ea1328be206a9f7c64b3412f64ed7bb95b884da591c476584a90403592412
zero,896,75,0.08504530042409897,0.15547850728034973,0.08377589285373688,0.08504530042409897,-1.0,-1.0,0.03690870851278305,0.12124133855104446,0.17146730422973633,6.8247318267822266e-06,True,guidance_non_degrading_on_stage_a_validation,854762eb2965a3856b9dec3a8d6ab3d8eaeea4076b48388be06aef1ba6ab1b89,16c1d58a4926bb6f6d1c018eb96600b52279116ca04a42d35286d63fb12ea647,47e2f348ebdc202cb749b1bbf2741fc868d8681eb24ffa4356cf4f584dfa4ec4,6c7748af3be2761a3a466b548af64aae925b693fbca795edf695072e28f17141,0ae9ff36966c73f7d6895522e4ca3099466d04ec41c4af93feecf14ed0071573,dfc3dd0378320c3fac62e5bf0b5185f03b2111a0059af01d27a48307693f52d8,de2f4d6cf9f1219c9fb79a754e72e41de7fc36d0d8842b44399e084390419ff2,b06ea1328be206a9f7c64b3412f64ed7bb95b884da591c476584a90403592412
