seed,mode,level,level_label,modality,numel,mean,std,mean_abs_delta_one,min,p05_approx,median_approx,p95_approx,max,fraction_below_low,fraction_above_high
40,fusion,0,P3,ir,5734400,0.9804591228375544,0.0029904316044698748,0.019542395908709816,0.976774275302887,0.9775,0.9775,0.9825,1.0031707286834717,0.0,0.0
40,fusion,0,P3,rgb,5734400,0.9920036963078539,0.0006665674818077303,0.007996303692146154,0.9870262742042542,0.9925,0.9925,0.9925,0.9933979511260986,0.0,0.0
40,fusion,1,P4,ir,1433600,1.0185407881650774,0.000883797213920928,0.018540788165077433,1.0133436918258667,1.0175,1.0175,1.0175,1.02120041847229,0.0,0.0
40,fusion,1,P4,rgb,1433600,0.9779664187534114,0.001235475887652979,0.022033581246588645,0.974606990814209,0.9775,0.9775,0.9825,0.984929621219635,0.0,0.0
40,fusion,2,P5,ir,358400,0.9890455742414841,0.0007068296826358349,0.010954425758515884,0.9884854555130005,0.9875,0.9875,0.9925,0.9921830296516418,0.0,0.0
40,fusion,2,P5,rgb,358400,1.0119647309031072,0.0008204366693739745,0.011964730903107141,1.008046269416809,1.0075,1.0125,1.0125,1.0125956535339355,0.0,0.0
40,rgb,0,P3,ir,5734400,0.9622401436701433,0.004252111804739718,0.03775985632985664,0.9586084485054016,0.9625,0.9625,0.9625,0.9942318797111511,0.0,0.0
40,rgb,0,P3,rgb,5734400,1.007820668201031,0.0016195552574811444,0.00782772658212967,0.9953481554985046,1.0075,1.0075,1.0075,1.009360432624817,0.0,0.0
40,rgb,1,P4,ir,1433600,1.0095696913011905,0.00028111369774412934,0.009569691301190427,1.0088849067687988,1.0075,1.0075,1.0125,1.012374758720398,0.0,0.0
40,rgb,1,P4,rgb,1433600,0.9884910704464086,0.000322945884288166,0.01150892955359138,0.9854328036308289,0.9875,0.9875,0.9875,0.9897627830505371,0.0,0.0
40,rgb,2,P5,ir,358400,0.9888387964549474,0.0007223243156212018,0.011161203545052558,0.988235354423523,0.9875,0.9875,0.9925,0.99187171459198,0.0,0.0
40,rgb,2,P5,rgb,358400,1.0130350574142566,0.000935865103384135,0.01303505741425657,1.0089969635009766,1.0125,1.0125,1.0125,1.0137922763824463,0.0,0.0
40,ir,0,P3,ir,5734400,1.0311585625974735,0.0013678564662742366,0.031158562597473585,1.0218573808670044,1.0275,1.0325,1.0325,1.0342998504638672,0.0,0.0
40,ir,0,P3,rgb,5734400,0.9715430822756649,0.0011088653451669813,0.028456917724335135,0.9667191505432129,0.9725,0.9725,0.9725,0.9791848659515381,0.0,0.0
40,ir,1,P4,ir,1433600,1.0191163018874692,0.001019454326438495,0.0191163018874691,1.0137211084365845,1.0175,1.0175,1.0175,1.0211467742919922,0.0,0.0
40,ir,1,P4,rgb,1433600,0.9788376263096247,0.001219307360932304,0.021162373690375328,0.9763753414154053,0.9775,0.9775,0.9825,0.985195517539978,0.0,0.0
40,ir,2,P5,ir,358400,0.9946234383896393,0.00014588239624624205,0.005376561610360763,0.994218111038208,0.9925,0.9925,0.9925,0.9952281713485718,0.0,0.0
40,ir,2,P5,rgb,358400,1.0047352921912847,0.00029312770525718367,0.004735292191284575,1.0040746927261353,1.0025,1.0025,1.0075,1.005903720855713,0.0,0.0
