acquisition,configuration,seed,condition,checkpoint_sha256,n_samples,map,map_50,map_75,map_small,map_medium,map_large,mar_1,mar_10,mar_100
carnation_0025_0026,historical_additive,40,vis_ir,6ba15c08d2687aaf78457fcb14631ecbd793892b33dfec1f451c34a15090b105,1313,0.1249290481209755,0.40432292222976685,0.04252397269010544,0.1249290481209755,-1.0,-1.0,0.05941198766231537,0.2841733396053314,0.35423827171325684
carnation_0025_0026,historical_additive,41,vis_ir,f77123085e68ed55bec4ee2c36ef23727e5823238a80f0b4190c351d9d22f4cf,1313,0.13416361808776855,0.43668919801712036,0.04088030382990837,0.13416361808776855,-1.0,-1.0,0.07100038230419159,0.29858723282814026,0.348033607006073
carnation_0025_0026,historical_additive,42,vis_ir,4a944ee64cc1279f2f30124fb882a4bdad62e0f5ac4d73d318cadc9df1002dc7,1313,0.07382704317569733,0.2719195485115051,0.016295045614242554,0.07382704317569733,-1.0,-1.0,0.045952655375003815,0.24234440922737122,0.27101945877075195
carnation_0025_0026,historical_additive,43,vis_ir,65f83dbeab40096434b7d5a80a5af24bd681f6054ade4aa28ea1bd30ddc7f746,1313,0.1585935354232788,0.4920438230037689,0.0571913942694664,0.1585935354232788,-1.0,-1.0,0.07457044720649719,0.33749523758888245,0.37770140171051025
carnation_0025_0026,historical_additive,44,vis_ir,fd46e18899cadec44272723306848d742aba4715474cd3789c6951c8e6afef20,1313,0.10470553487539291,0.3673610985279083,0.02745356783270836,0.10470553487539291,-1.0,-1.0,0.06273386627435684,0.28258877992630005,0.3172585070133209
carnation_0025_0026,historical_fam,40,vis_ir,c77d749c30ed5872c0c81a96c4d64f9ebf7912208b16c964c2f0405732dda13a,1313,0.16207796335220337,0.49706488847732544,0.055661577731370926,0.16207796335220337,-1.0,-1.0,0.07714776694774628,0.34140893816947937,0.3859488368034363
carnation_0025_0026,historical_fam,41,vis_ir,5fcafd3a5b197456a39bde55b1e1d5a5c1639b5cf4f67bf1ad57dd763e241640,1313,0.18717139959335327,0.5554907321929932,0.07462850213050842,0.18717139959335327,-1.0,-1.0,0.08245513588190079,0.35208094120025635,0.3798205554485321
carnation_0025_0026,historical_fam,42,vis_ir,b96ef8496088911d50d03a6061fe625cec8e17b17a4f1245a49b5b43e3703497,1313,0.1357770562171936,0.44544774293899536,0.03819439560174942,0.1357770562171936,-1.0,-1.0,0.06496754288673401,0.2864452004432678,0.34560900926589966
carnation_0025_0026,historical_fam,43,vis_ir,f6407afe0d781eb5c227e46611243d67385f1fc06010d4704f51ac5e8d0ac536,1313,0.15368174016475677,0.5012507438659668,0.04628657177090645,0.15368174016475677,-1.0,-1.0,0.06926307827234268,0.3133257031440735,0.36017563939094543
carnation_0025_0026,historical_fam,44,vis_ir,2fec1971b28c88cfccb2356de81270c5a75a15082daee435a77eaf0694b98e3e,1313,0.13501442968845367,0.4530378580093384,0.04268423467874527,0.13501442968845367,-1.0,-1.0,0.06697212904691696,0.30788469314575195,0.3349370062351227
carnation_0025_0026,stage_b_fam,40,vis,66217fac6c64144c444230bcdec4368b7b87e3fde2ebe983330b986452901c8d,1313,0.15489602088928223,0.47905051708221436,0.057615287601947784,0.15489602088928223,-1.0,-1.0,0.07254677265882492,0.3241695165634155,0.33953797817230225
carnation_0025_0026,stage_b_fam,40,vis_ir,66217fac6c64144c444230bcdec4368b7b87e3fde2ebe983330b986452901c8d,1313,0.1634773313999176,0.4969382882118225,0.06295017153024673,0.1634773313999176,-1.0,-1.0,0.0742458924651146,0.3302214443683624,0.35521191358566284
carnation_0025_0026,stage_b_fam,41,vis,4689cc606e8f91627c0867355739f90d2bc4a4932cecc78533f7b4dee6a09a81,1313,0.1055462658405304,0.36914780735969543,0.02585306018590927,0.1055462658405304,-1.0,-1.0,0.05026727914810181,0.22176402807235718,0.27793049812316895
carnation_0025_0026,stage_b_fam,41,vis_ir,4689cc606e8f91627c0867355739f90d2bc4a4932cecc78533f7b4dee6a09a81,1313,0.12690523266792297,0.4252031147480011,0.03617880493402481,0.12690523266792297,-1.0,-1.0,0.05799923464655876,0.26735395193099976,0.3351660966873169
carnation_0025_0026,stage_b_fam,42,vis,c305e9d97b98e586351246127e43b49e9fc5a73f59508d6d314f4f0f1a6ad9a3,1313,0.1584455817937851,0.5080044269561768,0.053888432681560516,0.1584455817937851,-1.0,-1.0,0.07485681772232056,0.32670867443084717,0.3461626470088959
carnation_0025_0026,stage_b_fam,42,vis_ir,c305e9d97b98e586351246127e43b49e9fc5a73f59508d6d314f4f0f1a6ad9a3,1313,0.15124964714050293,0.49234092235565186,0.04997808486223221,0.15124964714050293,-1.0,-1.0,0.07411225885152817,0.318403959274292,0.34894996881484985
carnation_0025_0026,stage_b_fam,43,vis,6b643ad11b2c693d07bd46b19f2a2acfdabb619a693dc67bc09027a66e436a65,1313,0.13435718417167664,0.45304903388023376,0.03996096923947334,0.13435718417167664,-1.0,-1.0,0.06806033104658127,0.29956090450286865,0.3268423080444336
carnation_0025_0026,stage_b_fam,43,vis_ir,6b643ad11b2c693d07bd46b19f2a2acfdabb619a693dc67bc09027a66e436a65,1313,0.12354373186826706,0.40049245953559875,0.03936316445469856,0.12354373186826706,-1.0,-1.0,0.06649484485387802,0.2941007912158966,0.32911416888237
carnation_0025_0026,stage_b_fam,44,vis,0e89d6568c75de2c55149b178718ff8789cd8f2a1e43456974fa257750ce9b85,1313,0.11163026094436646,0.34896373748779297,0.037033792585134506,0.11163026094436646,-1.0,-1.0,0.06458572298288345,0.29849177598953247,0.3215349316596985
